#,?ây là ví d?,######################,,,
#DICTNAME,"T? ?i?n KHKT , ?úc anh vi?t",,,,
#PUBLISHER,Nhà xu?t b?n ,,,,
#AUTHOR,,,,,
#ISBN,??,,,,
#TÙY-??NH-NGH?A,"Cái gì c?ng ???c , c?t cho software sau này có th? nh?n d?ng v? nh?ng thông tin v? t? ?i?n này, theo nguyên t?c : #KEYWORD",,,,
####,?ây ch? là comment!,,,,
################,######################,######################,,,
#COLDEFS,Dòng sau ??nh ngh?a các c?t,,,,
#TERM:DE,#GRAMMAR:EN,#CATEGORY:EN,#TERM:EN,#TERM:VI,#EXPLAIN:VI
#  T? ti?ng ??c ,"Grammar, ti?ng anh",,,,
"# có th? nhi?u t? cách nhau b?ng "";"" hay "","" ",,,,,
"các ch? trong ngo?c [],{},() s? ???c xem là thông tin thêm ",,,,,
########,,,,,
abpausen,vt,CT_MÁY,trace,"sao hình, chép hình",
Abplatzen,nt,"S_PH?, XD",spalling,"s? ??p v?, s? làm n?t v?",
Abplatzen,nt,S?_TT,chipping,"s? ??o, s? bào, s? tróc thành l?p",
abplatzen,vi,XD,spall,"b? ??p v?, n?t v?",
abplatzen,vi,S?_TT,chip,"b? ??o, tróc thành l?p, bong thành l?p",
### comments có th? ? b?t c? ?âu!,,,,,
Abprall,m,CNSX,ricochet,s? n?y thia lia,
abprallen,vi,CNSX,ricochet,n?y thia lia,
abpumpen,vt,"CT_MÁY, VT_THU?","pump off, pump out","b?m ra, hút ra",
abputzen,vt,CNSX,scour,"c? s?ch, t?y s?ch, ?ánh s?ch",
Abquetsch-,pref,C_D?O,flash,"ch?p nhoáng, nhanh",
Abquetsch-,pref,KT_D?T,quetsch (thu?c),nh?i v?i,
abquetschen,vt,FOTO,squeegee,ép b?ng ch?i l?n cao su,
Abquetschgrat,m,C_D?O,flash,s? ép nhanh,
Ab quetsch Vorrichtung,f,KT_D?T,quetsch unit (M?),thi?t b? nh?i v?i,
Abquetschwalze,f,GI?Y,squeeze roll,tr?c ép gi?y,
Abquetschwalze,f,KT_D?T,quetsch roller (M?),tr?c nh?i v?i,
